target,label
0,1000
1,1000
2,1000
3,1000
4,1000
5,1000
6,1000
7,1000
8,1000
9,1000
10,1000
11,1000
12,1000
13,1000
14,1000
15,1000
16,1000
17,1000
18,1000
19,1000
20,1000
21,1000
22,1000
23,1000
24,1000
25,1000
26,1000
27,1000
28,1000
29,1000
30,1000
31,1000
32,1000
33,1000
34,1000
35,1000
36,1000
37,1000
38,1000
39,1000
40,1000
41,1000
42,1000
43,1000
44,1000
45,1000
46,1000
47,1000
48,1000
49,1000
50,1000
51,1000
52,1000
53,1000
54,1000
55,1000
56,1000
57,1000
58,1000
59,1000
60,1000
61,1000
62,1000
63,1000
64,1000
65,1000
66,1000
67,1000
68,1000
69,1000
70,1000
71,1000
72,1000
73,1000
74,1000
75,1000
76,1000
77,1000
78,1000
79,1000
80,1000
81,1000
82,1000
83,1000
84,1000
85,1000
86,1000
87,1000
88,1000
89,1000
90,1000
91,1000
92,1000
93,1000
94,1000
95,1000
96,1000
97,1000
98,1000
99,1000
100,1000
101,1000
102,1000
103,1000
104,1000
105,1000
106,1000
107,1000
108,1000
109,1000
110,1000
111,1000
112,1000
113,1000
114,1000
115,1000
116,1000
117,1000
118,1000
119,1000
120,1000
121,1000
122,1000
123,1000
124,1000
125,1000
126,1000
127,1000
128,1000
129,1000
130,1000
131,1000
132,1000
133,1000
134,1000
135,1000
136,1000
137,1000
138,1000
139,1000
140,1000
141,1000
142,1000
143,1000
144,1000
145,1000
146,1000
147,1000
148,1000
149,1000
150,1000
151,1000
152,1000
153,1000
154,1000
155,1000
156,1000
157,1000
158,1000
159,1000
160,1000
161,1000
162,1000
163,1000
164,1000
165,1000
166,1000
167,1000
168,1000
169,1000
170,1000
171,1000
172,1000
173,1000
174,1000
175,1000
176,1000
177,1000
178,1000
179,1000
180,1000
181,1000
182,1000
183,1000
184,1000
185,1000
186,1000
187,1000
188,1000
189,1000
190,1000
191,1000
192,1000
193,1000
194,1000
195,1000
196,1000
197,1000
198,1000
199,1000
200,1000
201,1000
202,1000
203,1000
204,1000
205,1000
206,1000
207,1000
208,1000
209,1000
210,1000
211,1000
212,1000
213,1000
214,1000
215,1000
216,1000
217,1000
218,1000
219,1000
220,1000
221,1000
222,1000
223,1000
224,1000
225,1000
226,1000
227,1000
228,1000
229,1000
230,1000
231,1000
232,1000
233,1000
234,1000
235,1000
236,1000
237,1000
238,1000
239,1000
240,1000
241,1000
242,1000
243,1000
244,1000
245,1000
246,1000
247,1000
248,1000
249,1000
250,1000
251,1000
252,1000
253,1000
254,1000
255,1000
256,1000
257,1000
258,1000
259,1000
260,1000
261,1000
262,1000
263,1000
264,1000
265,1000
266,1000
267,1000
268,1000
269,1000
270,1000
271,1000
272,1000
273,1000
274,1000
275,1000
276,1000
277,1000
278,1000
279,1000
280,1000
281,1000
282,1000
283,1000
284,1000
285,1000
286,1000
287,1000
288,1000
289,1000
290,1000
291,1000
292,1000
293,1000
294,1000
295,1000
296,1000
297,1000
298,1000
299,1000
300,1000
301,1000
302,1000
303,1000
304,1000
305,1000
306,1000
307,1000
308,1000
309,1000
310,1000
311,1000
312,1000
313,1000
314,1000
315,1000
316,1000
317,1000
318,0100
319,0100
320,0100
321,0100
322,0100
323,0100
324,0100
325,0100
326,0100
327,0100
328,0100
329,0100
330,0100
331,0100
332,0100
333,0100
334,0100
335,0100
336,0100
337,0100
338,0100
339,0100
340,0100
341,0100
342,0100
343,0100
344,0100
345,0100
346,0100
347,0100
348,0100
349,0100
350,0100
351,0100
352,0100
353,0100
354,0100
355,0100
356,0100
357,0100
358,0100
359,0100
360,0100
361,0100
362,0100
363,0100
364,0100
365,0100
366,0100
367,0100
368,0100
369,0100
370,0100
371,0100
372,0100
373,0100
374,0100
375,0100
376,0100
377,0100
378,0100
379,0100
380,0100
381,0100
382,0100
383,0100
384,0100
385,0100
386,0100
387,0100
388,0100
389,0100
390,0100
391,0100
392,0100
393,0100
394,0100
395,0100
396,0100
397,0100
398,0100
399,0100
400,0100
401,0100
402,0100
403,0100
404,0100
405,0100
406,0100
407,0100
408,0100
409,0100
410,0100
411,0100
412,0100
413,0100
414,0100
415,0100
416,0100
417,0100
418,0100
419,0100
420,0100
421,0100
422,0100
423,0100
424,0100
425,0100
426,0100
427,0100
428,0100
429,0100
430,0100
431,0100
432,0100
433,0100
434,0100
435,0100
436,0100
437,0100
438,0100
439,0100
440,0100
441,0100
442,0100
443,0100
444,1100
445,1100
446,1100
447,1100
448,1100
449,1100
450,1100
451,1100
452,1100
453,1100
454,1100
455,1100
456,1100
457,1100
458,1100
459,1100
460,1100
461,1100
462,1100
463,1100
464,1100
465,1100
466,1100
467,1100
468,1100
469,1100
470,1100
471,1100
472,1100
473,1100
474,1100
475,1100
476,1100
477,1100
478,1100
479,1100
480,1100
481,1100
482,1100
483,1100
484,1100
485,1100
486,1100
487,1100
488,1100
489,1100
490,1100
491,1100
492,1100
493,1100
494,1100
495,1100
496,1100
497,1100
498,1100
499,1100
500,1100
501,1100
502,1100
503,1100
504,1100
505,1100
506,1100
507,1100
508,1100
509,1100
510,1100
511,1100
512,1100
513,1100
514,1100
515,1100
516,1100
517,1100
518,1100
519,1100
520,0010
521,0010
522,0010
523,0010
524,0010
525,0010
526,0010
527,0010
528,0010
529,0010
530,0010
531,0010
532,0010
533,0010
534,0010
535,0010
536,0010
537,0010
538,0010
539,0010
540,0010
541,0010
542,0010
543,0010
544,0010
545,0010
546,0010
547,0010
548,0010
549,0010
550,0010
551,0010
552,0010
553,0010
554,0010
555,0010
556,0010
557,0010
558,0010
559,0010
560,0010
561,0010
562,0010
563,0010
564,0010
565,0010
566,0010
567,0010
568,0010
569,0010
570,0010
571,0010
572,0010
573,0010
574,0010
575,0010
576,0010
577,0010
578,0010
579,0010
580,0010
581,0010
582,0010
583,0010
584,0010
585,0010
586,0010
587,0010
588,0010
589,0010
590,0010
591,0010
592,0010
593,0010
594,0010
595,0010
596,0010
597,0010
598,0010
599,0010
600,0010
601,0010
602,0010
603,0010
604,0010
605,0010
606,0010
607,0010
608,0010
609,0010
610,0010
611,0010
612,0010
613,0010
614,0010
615,0010
616,0010
617,0010
618,0010
619,0010
620,0010
621,0010
622,0010
623,0010
624,0010
625,0010
626,0010
627,0010
628,0010
629,0010
630,0010
631,0010
632,0010
633,0010
634,0010
635,0010
636,0010
637,0010
638,0010
639,0010
640,0010
641,0010
642,0010
643,0010
644,0010
645,0010
646,0010
647,1010
648,1010
649,1010
650,1010
651,1010
652,1010
653,1010
654,1010
655,1010
656,1010
657,1010
658,1010
659,1010
660,1010
661,1010
662,1010
663,1010
664,1010
665,1010
666,1010
667,1010
668,1010
669,1010
670,1010
671,1010
672,1010
673,1010
674,1010
675,1010
676,1010
677,1010
678,1010
679,1010
680,1010
681,1010
682,1010
683,1010
684,1010
685,1010
686,1010
687,1010
688,1010
689,1010
690,1010
691,1010
692,1010
693,1010
694,1010
695,1010
696,1010
697,1010
698,1010
699,1010
700,1010
701,0110
702,0110
703,0110
704,0110
705,0110
706,0110
707,0110
708,0110
709,0110
710,0110
711,0110
712,0110
713,0110
714,0110
715,0110
716,0110
717,0110
718,0110
719,0110
720,0110
721,0110
722,0110
723,0110
724,0110
725,0110
726,0110
727,0110
728,0110
729,0110
730,0110
731,0110
732,0110
733,0110
734,0110
735,0110
736,0110
737,0110
738,0110
739,0110
740,0110
741,0110
742,0110
743,0110
744,0110
745,0110
746,0110
747,0110
748,0110
749,0110
750,0110
751,0110
752,0110
753,0110
754,0110
755,0110
756,0110
757,0110
758,0110
759,0110
760,0110
761,0110
762,0110
763,0110
764,0110
765,0110
766,0110
767,0110
768,0110
769,0110
770,0110
771,0110
772,0110
773,0110
774,0110
775,0110
776,0110
777,0110
778,0110
779,0110
780,0110
781,0110
782,0110
783,0110
784,0110
785,0110
786,0110
787,0110
788,0110
789,0110
790,0110
791,0110
792,0110
793,0110
794,0110
795,0110
796,0110
797,0110
798,0110
799,0110
800,0110
801,0110
802,0110
803,0110
804,0110
805,0110
806,0110
807,0110
808,0110
809,0110
810,0110
811,0110
812,0110
813,0110
814,0110
815,0110
816,0110
817,0110
818,0110
819,0110
820,0110
821,0110
822,0110
823,0110
824,0110
825,0110
826,0110
827,0110
828,0110
829,0110
830,0110
831,0110
832,0110
833,0110
834,0110
835,0110
836,0110
837,0110
838,0110
839,0110
840,0110
841,0110
842,0110
843,0110
844,0110
845,0110
846,0110
847,0110
848,0110
849,0110
850,0110
851,0110
852,0110
853,0110
854,0110
855,0110
856,0110
857,0110
858,0110
859,0110
860,0110
861,0110
862,0110
863,0110
864,0110
865,0110
866,0110
867,0110
868,1110
869,1110
870,1110
871,1110
872,1110
873,1110
874,1110
875,1110
876,1110
877,1110
878,1110
879,1110
880,1110
881,1110
882,1110
883,1110
884,1110
885,1110
886,1110
887,1110
888,1110
889,1110
890,1110
891,1110
892,1110
893,1110
894,1110
895,1110
896,1110
897,1110
898,1110
899,1110
900,1110
901,1110
902,1110
903,1110
904,1110
905,1110
906,1110
907,1110
908,1110
909,1110
910,1110
911,1110
912,1110
913,1110
914,1110
915,1110
916,1110
917,1110
918,1110
919,1110
920,1110
921,1110
922,1110
923,1110
924,1110
925,1110
926,1110
927,1110
928,1110
929,1110
930,1110
931,1110
932,1110
933,1110
934,1110
935,1110
936,1110
937,1110
938,1110
939,1110
940,1110
941,1110
942,1110
943,1110
944,1110
945,1110
946,1110
947,1110
948,1110
949,1110
950,1110
951,1110
952,1110
953,1110
954,1110
955,0001
956,0001
957,0001
958,0001
959,0001
960,0001
961,0001
962,0001
963,0001
964,0001
965,0001
966,0001
967,0001
968,0001
969,0001
970,0001
971,0001
972,0001
973,0001
974,0001
975,0001
976,0001
977,0001
978,0001
979,0001
980,0001
981,0001
982,0001
983,0001
984,0001
985,0001
986,0001
987,0001
988,0001
989,0001
990,0001
991,0001
992,0001
993,0001
994,0001
995,0001
996,0001
997,0001
998,0001
999,0001
1000,0001
1001,0001
1002,0001
1003,0001
1004,0001
1005,0001
1006,0001
1007,0001
1008,0001
1009,0001
1010,0001
1011,0001
1012,0001
1013,0001
1014,0001
1015,0001
1016,0001
1017,0001
1018,0001
1019,0001
1020,0001
1021,0001
1022,0001
1023,0001
1024,0001
1025,0001
1026,0001
1027,0001
1028,0001
1029,0001
1030,0001
1031,0001
1032,0001
1033,0001
1034,0001
1035,0001
1036,0001
1037,0001
1038,0001
1039,0001
1040,0001
1041,0001
1042,0001
1043,0001
1044,0001
1045,0001
1046,0001
1047,0001
1048,0001
1049,0001
1050,0001
1051,0001
1052,0001
1053,0001
1054,0001
1055,0001
1056,0001
1057,0001
1058,0001
1059,0001
1060,0001
1061,0001
1062,0001
1063,0001
1064,0001
1065,0001
1066,0001
1067,0001
1068,0001
1069,0001
1070,0001
1071,0001
1072,0001
1073,0001
1074,0001
1075,0001
1076,0001
1077,0001
1078,0001
1079,0001
1080,0001
1081,0001
1082,0001
1083,0001
1084,0001
1085,0001
1086,0001
1087,0001
1088,0001
1089,0001
1090,0001
1091,0001
1092,0001
1093,0001
1094,0001
1095,0001
1096,0001
1097,0001
1098,0001
1099,0001
1100,0001
1101,0001
1102,0001
1103,0001
1104,0001
1105,0001
1106,0001
1107,0001
1108,0001
1109,0001
1110,0001
1111,0001
1112,0001
1113,0001
1114,0001
1115,0001
1116,0001
1117,0001
1118,0001
1119,0001
1120,0001
1121,0001
1122,0001
1123,0001
1124,0001
1125,0001
1126,0001
1127,0001
1128,0001
1129,0001
1130,0001
1131,0001
1132,0001
1133,0001
1134,0001
1135,0001
1136,0001
1137,0001
1138,0001
1139,0001
1140,0001
1141,0001
1142,0001
1143,0001
1144,0001
1145,0001
1146,0001
1147,0001
1148,0001
1149,0001
1150,0001
1151,0001
1152,0001
1153,0001
1154,0001
1155,0001
1156,0001
1157,0001
1158,0001
1159,0001
1160,0001
1161,0001
1162,0001
1163,0001
1164,0001
1165,0001
1166,0001
1167,0001
1168,0001
1169,0001
1170,0001
1171,0001
1172,0001
1173,0001
1174,0001
1175,0001
1176,0001
1177,0001
1178,0001
1179,0001
1180,0001
1181,0001
1182,0001
1183,0001
1184,0001
1185,0001
1186,0001
1187,0001
1188,0001
1189,0001
1190,0001
1191,0001
1192,0001
1193,0001
1194,0001
1195,0001
1196,0001
1197,0001
1198,0001
1199,0001
1200,0001
1201,0001
1202,0001
1203,0001
1204,0001
1205,0001
1206,0001
1207,0001
1208,0001
1209,0001
1210,0001
1211,0001
1212,0001
1213,0001
1214,0001
1215,0001
1216,0001
1217,0001
1218,0001
1219,0001
1220,0001
1221,0001
1222,0001
1223,0001
1224,0001
1225,0001
1226,0001
1227,0001
1228,0001
1229,0001
1230,0001
1231,0001
1232,0001
1233,0001
1234,0001
1235,0001
1236,0001
1237,0001
1238,0001
1239,0001
1240,0001
1241,0001
1242,0001
1243,0001
1244,0001
1245,0001
1246,0001
1247,0001
1248,0001
1249,0001
1250,0001
1251,1001
1252,1001
1253,1001
1254,1001
1255,1001
1256,1001
1257,1001
1258,1001
1259,1001
1260,1001
1261,1001
1262,1001
1263,1001
1264,1001
1265,1001
1266,1001
1267,1001
1268,1001
1269,1001
1270,1001
1271,1001
1272,1001
1273,1001
1274,1001
1275,1001
1276,1001
1277,1001
1278,1001
1279,1001
1280,1001
1281,1001
1282,1001
1283,1001
1284,1001
1285,1001
1286,1001
1287,1001
1288,1001
1289,1001
1290,1001
1291,1001
1292,1001
1293,1001
1294,1001
1295,1001
1296,1001
1297,1001
1298,1001
1299,1001
1300,1001
1301,1001
1302,1001
1303,1001
1304,1001
1305,1001
1306,1001
1307,1001
1308,1001
1309,1001
1310,1001
1311,1001
1312,1001
1313,1001
1314,1001
1315,1001
1316,1001
1317,1001
1318,1001
1319,1001
1320,1001
1321,1001
1322,1001
1323,1001
1324,1001
1325,1001
1326,1001
1327,1001
1328,1001
1329,1001
1330,1001
1331,1001
1332,1001
1333,1001
1334,1001
1335,1001
1336,1001
1337,0101
1338,0101
1339,0101
1340,0101
1341,0101
1342,0101
1343,0101
1344,0101
1345,0101
1346,0101
1347,0101
1348,0101
1349,0101
1350,0101
1351,0101
1352,0101
1353,0101
1354,1101
1355,1101
1356,1101
1357,1101
1358,1101
1359,1101
1360,1101
1361,1101
1362,1101
1363,1101
1364,1101
1365,1101
1366,1101
1367,1101
1368,1101
1369,1101
1370,1101
1371,1101
1372,0011
1373,0011
1374,0011
1375,0011
1376,0011
1377,0011
1378,0011
1379,0011
1380,0011
1381,0011
1382,0011
1383,0011
1384,0011
1385,0011
1386,0011
1387,0011
1388,0011
1389,0011
1390,0011
1391,0011
1392,0011
1393,0011
1394,0011
1395,0011
1396,0011
1397,0011
1398,0011
1399,0011
1400,0011
1401,0011
1402,0011
1403,0011
1404,0011
1405,0011
1406,0011
1407,0011
1408,0011
1409,0011
1410,0011
1411,0011
1412,0011
1413,0011
1414,0011
1415,0011
1416,0011
1417,0011
1418,0011
1419,0011
1420,0011
1421,0011
1422,0011
1423,0011
1424,0011
1425,0011
1426,0011
1427,0011
1428,0011
1429,0011
1430,0011
1431,0011
1432,0011
1433,0011
1434,0011
1435,0011
1436,0011
1437,0011
1438,0011
1439,0011
1440,0011
1441,0011
1442,0011
1443,0011
1444,0011
1445,0011
1446,0011
1447,0011
1448,0011
1449,1011
1450,1011
1451,1011
1452,1011
1453,1011
1454,1011
1455,1011
1456,1011
1457,1011
1458,1011
1459,1011
1460,1011
1461,1011
1462,1011
1463,1011
1464,1011
1465,1011
1466,1011
1467,1011
1468,1011
1469,1011
1470,1011
1471,1011
1472,1011
1473,1011
1474,1011
1475,1011
1476,1011
1477,1011
1478,1011
1479,1011
1480,1011
1481,1011
1482,1011
1483,1011
1484,1011
1485,1011
1486,1011
1487,1011
1488,1011
1489,1011
1490,1011
1491,1011
1492,1011
1493,1011
1494,1011
1495,1011
1496,1011
1497,1011
1498,1011
1499,1011
1500,1011
1501,1011
1502,0111
1503,0111
1504,0111
1505,0111
1506,0111
1507,0111
1508,0111
1509,0111
1510,0111
1511,0111
1512,0111
1513,0111
1514,0111
1515,0111
1516,1111
1517,1111
1518,1111
1519,1111
1520,1111
1521,1111
1522,1111
